pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_disc,pl_status,pl_mnum
HD 192310,c,Radial Velocity,2,525.8,9.2,-9.2,0,1.18,0.025,-0.025,0,0.32,0.11,-0.11,0,,,,,0.07552,0.01573,-0.01573,0,,,,,,,,,,,,,0,0,20h15m17.39s,303.822449,-27d01m58.7s,-27.032976,8.82,0.07,-0.07,0,5.73,,0,0,,,,,,,,,,,,,HD 192310,HIP 99825,HD 192310 c,0,1,0,0,0,0,,,,,110,21,-21,0,,,,,,,,,24,5,-5,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
HD 192699,b,Radial Velocity,1,351.5,6,-6,0,1.16,,,0,0.149,0.06,-0.06,0,,,,,2.5,,,0,,,,,,,,,,,,,0,0,20h16m06.01s,304.025024,+04d34m50.9s,4.580795,67.39,3.89,-4.4,0,6.446,0.01,0,0,,,,,,,,,,,,,HD 192699,HIP 99894,HD 192699 b,0,1,0,0,0,0,2452994,30,-30,0,54,30,-30,0,,,,,,,,,794.54153,,,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 195019,b,Radial Velocity,1,18.20163,0.0004,-0.0004,0,0.1388,0.008,-0.008,0,0.014,0.0044,-0.0044,0,,,,,3.7,0.3,-0.3,0,,,,,,,,,,,,,0,0,20h28m18.63s,307.077637,+18d46m10.2s,18.769497,37.35,1.2,-1.28,0,6.892,0.01,0,1,,,,,,,,,,,,,HD 195019,HIP 100970,HD 195019 b,0,1,0,0,0,0,2411015,1.2,-1.2,0,222,20,-20,0,,,,,,,,,1175.921,95.345,-95.345,0,,,,,,,,,,,,,,,,,,,,,1999,3,0
HD 196050,b,Radial Velocity,1,1289,,,0,2.5,,,0,0.28,,,0,,,,,3,,,0,,,,,,,,,,,,,0,0,20h37m51.71s,309.465454,-60d38m04.1s,-60.634483,46.93,1.92,-2.09,0,7.493,0.01,0,0,,,,,,,,,,,,,HD 196050,HIP 101806,HD 196050 b,0,1,0,0,0,0,,,,,223,,,0,,,,,,,,,953.44983,,,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
HD 196067,b,Radial Velocity,1,3638,232,-185,0,5.02,0.19,-0.19,0,0.66,0.18,-0.09,0,,,,,6.9,3.9,-1.1,0,,,,,,,,,,,,,0,0,20h41m44.09s,310.433716,-75d21m02.9s,-75.3508,43.57,3.65,-4.39,0,6.03,,0,0,6017,46,0,0,1.29,0.08,0,0,1.73,0.21,0,0,HD 196067,HIP 102125,HD 196067 b,0,1,0,0,0,0,2453375,225,-225,0,148.2,7.8,-7.8,0,,,,,,,,,2192.9,1239.5,-349.6,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 196885,b,Radial Velocity,1,1333,15,-15,0,2.37,0.02,-0.02,0,0.48,0.06,-0.06,0,,,,,2.58,0.16,-0.16,0,,,,,,,,,,,,,0,0,20h39m51.88s,309.966156,+11d14m58.7s,11.249649,32.99,0.86,-0.91,0,6.386,0.01,0,0,,,,,,,,,,,,,HD 196885,HIP 101966,HD 196885 b,0,1,0,0,0,0,2451992,12,-12,0,78,7.6,-7.6,0,,,,,,,,,819.967,50.851,-50.851,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 197037,b,Radial Velocity,1,1035.7,13,-13,0,2.07,0.05,-0.05,0,0.22,0.07,-0.07,0,,,,,0.79,0.05,-0.05,0,,,,,,,,,,,,,0,0,20h39m32.96s,309.887329,+42d14m54.8s,42.24855,32.83,0.63,-0.66,0,6.813,0.01,0,0,,,,,,,,,,,,,HD 197037,HIP 101948,HD 197037 b,0,1,0,0,0,0,2451353.1,86,-86,0,298,26,-26,0,,,,,,,,,251,16,-16,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
HD 200964,b,Radial Velocity,2,613.8,1.3,-1.4,0,1.601,0.002,-0.002,0,0.04,0.04,-0.02,0,,,,,1.85,0.14,-0.08,0,,,,,,,,,,,,,0,0,21h06m39.84s,316.666016,+03d48m11.2s,3.803119,68.35,4.5,-5.18,0,6.487,0.01,0,0,5164,44,0,0,1.44,0.09,0,0,4.3,0.09,0,0,HD 200964,HIP 104202,HD 200964 b,0,1,0,0,0,0,2454900,235.5,-89.3,0,288,47,-111.9,0,,,,,,,,,587.96,44.49,-25.43,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
HD 200964,c,Radial Velocity,2,825,5.1,-3.1,0,1.95,0.008,-0.005,0,0.181,0.024,-0.017,0,,,,,0.895,0.123,-0.063,0,,,,,,,,,,,,,0,0,21h06m39.84s,316.666016,+03d48m11.2s,3.803119,68.35,4.5,-5.18,0,6.487,0.01,0,0,5164,44,0,0,1.44,0.09,0,0,4.3,0.09,0,0,HD 200964,HIP 104202,HD 200964 c,0,1,0,0,0,0,2455000,51.1,-54.6,0,182.6,67.7,-57.1,0,,,,,,,,,284.446,39.091,-20.022,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
HD 202206,b,Radial Velocity,2,255.87,0.06,-0.06,0,0.83,,,0,0.435,0.001,-0.001,0,,,,,17.4,,,0,,,,,,,,,,,,,0,0,21h14m57.77s,318.740692,-20d47m21.2s,-20.789209,46.34,2.33,-2.58,0,8.071,0.012,0,0,,,,,,,,,,,,,HD 202206,HIP 104903,HD 202206 b,0,1,0,0,0,0,,,,,161.18,0.3,-0.3,0,,,,,,,,,5530.00903,,,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
HD 202206,c,Radial Velocity,2,1383.4,18.4,-18.4,0,2.55,,,0,0.267,0.021,-0.021,0,,,,,2.44,,,0,,,,,,,,,,,,,0,0,21h14m57.77s,318.740692,-20d47m21.2s,-20.789209,46.34,2.33,-2.58,0,8.071,0.012,0,0,,,,,,,,,,,,,HD 202206,HIP 104903,HD 202206 c,0,1,0,0,0,0,,,,,78.99,6.65,-6.65,0,,,,,,,,,775.47253,,,0,,,,,,,,,,,,,,,,,,,,,2004,3,0
HD 203030,b,Imaging,1,,,,,487.1,1.8,-1.8,0,,,,,24.09,8.379,-11.521,0,,,,,,,,,,,,,,,,,0,0,21h18m58.22s,319.742584,+26d13m50.0s,26.230545,40.85,1.68,-1.83,0,8.425,0.013,0,0,,,,,,,,,,,,,HD 203030,HIP 105232,HD 203030 b,0,0,1,0,0,0,,,,,,,,,1206,74,-116,0,7656.097,2662.991,-3661.612,0,,,,,,,,,,,,,,,,,,,,,,,,,2006,3,0
HD 204313,b,Radial Velocity,2,1931,18,-18,0,3.082,0.055,-0.055,0,0.131,0.023,-0.023,0,,,,,4.05,0.17,-0.17,0,,,,,,,,,,,,,0,0,21h28m12.21s,322.050873,-21d43m34.5s,-21.726255,47.3,2.26,-2.5,0,8.02,0.013,0,0,5760,100,0,0,1.02,,0,0,,,,,HD 204313,HIP 106006,HD 204313 b,0,1,0,0,0,0,2453989,62,-62,0,-57,11,-11,0,,,,,,,,,1287.15727,54.02882,-54.02882,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
HD 204313,d,Radial Velocity,2,2831.6,150,-150,0,3.93,0.14,-0.14,0,0.28,0.09,-0.09,0,,,,,1.68,0.3,-0.3,0,,,,,,,,,,,,,0,0,21h28m12.21s,322.050873,-21d43m34.5s,-21.726255,47.3,2.26,-2.5,0,8.02,0.013,0,0,5760,100,0,0,1.02,,0,0,,,,,HD 204313,HIP 106006,HD 204313 d,0,1,0,0,0,0,2456376.9,176,-176,0,247,16,-16,0,,,,,,,,,533.93,95.34,-95.34,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 204941,b,Radial Velocity,1,1733,74,-74,0,2.56,0.08,-0.08,0,0.37,0.08,-0.08,0,,,,,0.266,0.032,-0.032,0,,,,,,,,,,,,,0,0,21h32m23.51s,323.097961,-20d57m26.7s,-20.957422,26.95,0.88,-0.95,0,8.42,0.014,0,0,,,,,,,,,,,,,HD 204941,HIP 106353,HD 204941 b,0,1,0,0,0,0,2456015,92,-92,0,-132,18,-18,0,,,,,,,,,84.5392,10.1701,-10.1701,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
HD 205739,b,Radial Velocity,1,279.8,0.1,-0.1,0,0.896,0.019,-0.015,0,0.27,0.07,-0.07,0,,,,,1.37,0.07,-0.09,0,,,,,,,,,,,,,0,0,21h38m08.41s,324.535034,-31d44m14.9s,-31.737484,90.33,8.3,-10.17,0,8.544,0.015,0,0,,,,,,,,,,,,,HD 205739,HIP 106824,HD 205739 b,0,1,0,0,0,0,2453390.7,0.7,-0.7,0,301,8,-8,0,,,,,,,,,435.40876,22.24716,-28.60349,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
HD 206610,b,Radial Velocity,1,610,13,-13,0,1.68,0.05,-0.05,0,0.229,0.058,-0.058,0,,,,,2.2,0.1,-0.1,0,,,,,,,,,,,,,0,0,21h43m24.90s,325.85376,-07d24m29.7s,-7.408253,170.07,27.01,-39.58,0,8.346,0.014,0,0,,,,,,,,,,,,,HD 206610,HIP 107251,HD 206610 b,0,1,0,0,0,0,2454677,20,-20,0,296,10,-10,0,,,,,,,,,699.197,31.7817,-31.7817,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
HD 207832,b,Radial Velocity,2,161.97,0.97,-0.78,0,0.57,0.002,-0.002,0,0.13,0.18,-0.05,0,0.56,0.06,-0.03,0,,,,,,,,,,,,,,,,,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.02656,55.31,3.42,-3.9,0,8.786,0.014,0,0,5710,81,0,,0.94,0.1,0,,0.9,0.06,0,,HD 207832,HIP 107985,HD 207832 b,0,1,0,0,0,0,2453191.073,,,0,130.8,23.9,-83.4,0,,,,,177.977,19.069,-9.535,0,,,,,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 207832,c,Radial Velocity,2,1155.7,71.9,-37,0,2.112,0.087,-0.045,0,0.27,0.22,-0.1,0,0.73,0.18,-0.05,0,,,,,,,,,,,,,,,,,0,0,21h52m36.28s,328.151184,-26d01m35.6s,-26.02656,55.31,3.42,-3.9,0,8.786,0.014,0,0,5710,81,0,,0.94,0.1,0,,0.9,0.06,0,,HD 207832,HIP 107985,HD 207832 c,0,1,0,0,0,0,2453191.073,,,0,121.6,32.4,-76.5,0,,,,,232.006,57.207,-15.891,0,,,,,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 208527,b,Radial Velocity,1,875.5,5.8,-5.8,0,2.1,0.2,-0.2,0,0.08,0.04,-0.04,0,,,,,9.9,1.7,-1.7,0,,,,,,,,,,,,,0,0,21h56m23.99s,329.099945,+21d14m23.5s,21.239859,352.11,75.1,-130.98,0,,,,,4035,65,0,0,1.6,0.4,0,0,51.1,8.3,0,0,HD 208527,HIP 108296,HD 208527 b,0,1,0,0,0,0,2450745.3,45.7,-45.7,0,278,19.5,-19.5,0,,,,,,,,,3146.4,540.3,-540.3,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 208487,b,Radial Velocity,1,123,1,-1,0,0.49,0.04,-0.04,0,0.32,0.1,-0.1,0,,,,,0.45,0.05,-0.05,0,,,,,,,,,,,,,0,0,21h57m19.85s,329.332703,-37d45m49.0s,-37.763622,43.99,1.87,-2.05,0,7.471,0.012,0,0,,,,,,,,,,,,,HD 208487,HIP 108375,HD 208487 b,0,1,0,0,0,0,2451002.8,10,-10,0,126,40,-40,0,,,,,,,,,143.01747,15.89083,-15.89083,0,,,,,,,,,,,,,,,,,,,,,2004,3,0
HD 209458,b,Radial Velocity,1,3.52474859,0.00000038,-0.00000038,0,0.04747,0.00055,-0.00055,0,0,,,0,0.714,0.017,-0.017,0,,,,,1.38,0.017,-0.017,0,0.362,0.006,-0.006,0,86.59,0.046,-0.046,0,0,0,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,47.08,2.12,-2.33,0,7.632,0.012,0,0,6065,50,0,,1.15,0.04,0,,1.16,0.01,0,,HD 209458,HIP 108859,HD 209458 b,1,1,0,0,0,0,,,,,,,,,,,,,226.921,5.403,-5.403,0,,,,,15.468,0.191,-0.191,0,0.142,0.002,-0.002,0,,,,,,,,,2451659.937,0.0001,-0.0001,0,1999,3,0
HD 210277,b,Radial Velocity,1,442.1,0.4,-0.4,0,1.1,0.02,-0.02,0,0.472,0.011,-0.011,0,,,,,1.23,0.03,-0.03,0,,,,,,,,,,,,,0,0,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654,21.29,0.35,-0.36,0,6.53,,0,0,,,,,,,,,,,,,HD 210277,HIP 109378,HD 210277 b,0,1,0,0,0,0,2450988.2,1.6,-1.6,0,118.2,1.9,-1.9,0,,,,,,,,,390.91443,9.5345,-9.5345,0,,,,,,,,,,,,,,,,,,,,,1998,3,0
HD 210702,b,Radial Velocity,1,354.8,1.1,-1.1,0,1.2,,,0,0.094,0.052,-0.052,0,1.9,,,0,,,,,,,,,,,,,,,,,0,0,22h11m51.33s,332.963867,+16d02m26.0s,16.04055,55.93,2.22,-2.41,0,5.95,,0,0,4967,25,0,,1.68,0.18,0,,5.1,0.4,0,,HD 210702,HIP 109577,HD 210702 b,0,1,0,0,0,0,2452205,45,-45,0,126,47,-47,0,,,,,603.852,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 212771,b,Radial Velocity,1,373.3,3.4,-3.4,0,1.22,0.03,-0.03,0,0.111,0.06,-0.06,0,,,,,2.3,0.4,-0.4,0,,,,,,,,,,,,,0,0,22h27m03.07s,336.762787,-17d15m49.2s,-17.263659,121.8,13.93,-18.06,0,7.596,0.014,0,0,,,,,,,,,,,,,HD 212771,HIP 110813,HD 212771 b,0,1,0,0,0,0,2454947,40,-40,0,55,40,-40,0,,,,,,,,,730.978,127.127,-127.127,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
HD 212301,b,Radial Velocity,1,2.245715,0.000028,-0.000028,0,0.036,,,0,0,,,0,,,,,0.45,,,0,,,,,,,,,,,,,0,0,22h27m30.92s,336.878845,-77d43m04.5s,-77.717926,52.72,1.95,-2.11,0,7.764,0.011,0,0,,,,,,,,,,,,,HD 212301,HIP 110852,HD 212301 b,0,1,0,0,0,0,,,,,,,,,,,,,,,,,143.017,,,0,,,,,,,,,,,,,,,,,,,,,2005,3,0
HD 213240,b,Radial Velocity,1,951,42,-42,0,2.03,,,0,0.45,0.04,-0.04,0,,,,,4.5,,,0,,,,,,,,,,,,,0,0,22h31m00.37s,337.751526,-49d25m59.8s,-49.43327,40.75,1.3,-1.39,0,6.814,0.01,0,0,,,,,,,,,,,,,HD 213240,HIP 111143,HD 213240 b,0,1,0,0,0,0,,,,,214,7,-7,0,,,,,,,,,1430.17475,,,0,,,,,,,,,,,,,,,,,,,,,2001,3,0
HD 215497,b,Radial Velocity,2,3.93,,,0,,,,,,,,,,,,,0.017,,,0,,,,,,,,,,,,,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,43.53,2.25,-2.51,0,8.95,0.016,0,0,,,,,,,,,,,,,HD 215497,HIP 112441,HD 215497 b,0,1,0,0,0,0,,,,,,,,,,,,,,,,,5.40288,,,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
HD 215497,c,Radial Velocity,2,567,,,0,,,,,,,,,,,,,0.33,,,0,,,,,,,,,,,,,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,43.53,2.25,-2.51,0,8.95,0.016,0,0,,,,,,,,,,,,,HD 215497,HIP 112441,HD 215497 c,0,1,0,0,0,0,,,,,,,,,,,,,,,,,104.87948,,,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
HD 216435,b,Radial Velocity,1,1311,49,-49,0,2.56,0.17,-0.17,0,0.07,0.078,-0.078,0,,,,,1.26,0.13,-0.13,0,,,,,,,,,,,,,0,0,22h53m37.93s,343.408051,-48d35m53.8s,-48.598286,33.29,0.79,-0.83,0,6.04,,0,0,,,,,,,,,,,,,HD 216435,HIP 113044,HD 216435 b,0,1,0,0,0,0,2450870,210,-210,0,100,,,0,,,,,,,,,400.44893,41.31616,-41.31616,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
HD 216437,b,Radial Velocity,1,1294,,,0,2.7,,,0,0.34,,,0,,,,,2.1,,,0,,,,,,,,,,,,,0,0,22h54m39.48s,343.66452,-70d04m25.3s,-70.073708,26.52,0.4,-0.41,0,6.05,,0,0,,,,,,,,,,,,,HD 216437,HIP 113137,HD 216437 b,0,1,0,0,0,0,,,,,67,,,0,,,,,,,,,667.41488,,,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
HD 216770,b,Radial Velocity,1,118.45,0.55,-0.55,0,0.46,,,0,0.37,0.06,-0.06,0,,,,,0.65,,,0,,,,,,,,,,,,,0,0,22h55m53.71s,343.973785,-26d39m31.5s,-26.658764,37.89,1.46,-1.59,0,8.094,0.013,0,0,,,,,,,,,,,,,HD 216770,HIP 113238,HD 216770 b,0,1,0,0,0,0,,,,,281,10,-10,0,,,,,,,,,206.581,,,0,,,,,,,,,,,,,,,,,,,,,2003,3,0
HD 217107,b,Radial Velocity,2,7.126816,0.000039,-0.000039,0,0.0748,0.0043,-0.0043,0,0.1267,0.0052,-0.0052,0,,,,,1.39,0.11,-0.11,0,,,,,,,,,,,,,0,0,22h58m15.54s,344.564758,-02d23m43.4s,-2.395385,19.72,0.29,-0.3,0,6.16,,0,1,,,,,,,,,,,,,HD 217107,HIP 113421,HD 217107 b,0,1,0,0,0,0,2454396,39,-39,0,24.4,3,-3,0,,,,,,,,,441.77,34.96,-34.96,0,,,,,,,,,,,,,,,,,,,,,1998,3,0
HD 217107,c,Radial Velocity,2,4270,220,-220,0,5.32,0.38,-0.38,0,0.517,0.033,-0.033,0,,,,,2.6,0.15,-0.15,0,,,,,,,,,,,,,0,0,22h58m15.54s,344.564758,-02d23m43.4s,-2.395385,19.72,0.29,-0.3,0,6.16,,0,1,,,,,,,,,,,,,HD 217107,HIP 113421,HD 217107 c,0,1,0,0,0,0,2451106,39,-39,0,198.6,6,-6,0,,,,,,,,,826.32,47.67,-47.67,0,,,,,,,,,,,,,,,,,,,,,2005,3,0
HD 217786,b,Radial Velocity,1,1319,4,-4,0,2.38,0.04,-0.04,0,0.4,0.05,-0.05,0,,,,,13,0.8,-0.8,0,,,,,,,,,,,,,0,0,23h03m08.20s,345.78418,-00d25m46.6s,-0.429622,54.92,2.78,-3.09,0,7.779,0.012,0,0,,,,,,,,,,,,,HD 217786,HIP 113834,HD 217786 b,0,1,0,0,0,0,2456053,7,-7,0,100,2,-2,0,,,,,,,,,4131.62,254.253,-254.253,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
HD 218566,b,Radial Velocity,1,225.7,0.4,-0.4,0,0.6873,0.0008,-0.0008,0,0.3,0.1,-0.1,0,,,,,0.21,0.02,-0.02,0,,,,,,,,,,,,,0,0,23h09m10.73s,347.294708,-02d15m38.7s,-2.260742,29.94,1.03,-1.11,0,8.628,0.017,0,0,,,,,,,,,,,,,HD 218566,HIP 114322,HD 218566 b,0,1,0,0,0,0,2450360,154,-154,0,36,24,-24,0,,,,,,,,,66.7415,6.35633,-6.35633,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
HD 219077,b,Radial Velocity,1,5501,130,-119,0,6.22,0.09,-0.09,0,0.77,0.003,-0.003,0,,,,,10.39,0.09,-0.09,0,,,,,,,,,,,,,0,0,23h14m06.58s,348.527435,-62d42m00.0s,-62.700005,29.2,0.51,-0.53,0,6.12,,0,0,5362,18,0,0,1.05,0.02,0,0,1.91,0.03,0,0,HD 219077,HIP 114699,HD 219077 b,0,1,0,0,0,0,2450455.8,1.4,-1.4,0,57.61,0.42,-0.42,0,,,,,,,,,3302.11,28.6,-28.6,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 219415,b,Radial Velocity,1,2093.3,32.7,-32.7,0,3.2,,,0,0.4,0.09,-0.09,0,1,,,0,,,,,,,,,,,,,,,,,0,0,23h14m53.83s,348.724274,+56d43m49.2s,56.730328,,,,,,,,,4820,20,0,,1,0.1,0,,2.9,0.4,0,,HD 219415,,HD 219415 b,0,1,0,0,0,0,2453460.9,57.7,-57.7,0,207,12.3,-12.3,0,,,,,317.817,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 219828,b,Radial Velocity,1,3.8335,0.0013,-0.0013,0,,,,,0,,,0,,,,,0.06,,,0,,,,,,,,,,,,,0,0,23h18m46.74s,349.694733,+18d38m44.6s,18.64572,81.1,6.14,-7.24,0,8.008,0.015,0,0,,,,,,,,,,,,,HD 219828,HIP 115100,HD 219828 b,0,1,0,0,0,0,2453898.629,0.072,-0.072,0,0,,,0,,,,,,,,,19.8,,,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 220074,b,Radial Velocity,1,672.1,3.7,-3.7,0,1.6,0.1,-0.1,0,0.14,0.05,-0.05,0,,,,,11.1,1.8,-1.8,0,,,,,,,,,,,,,0,0,23h20m14.38s,350.059906,+61d58m12.5s,61.970127,289.02,42.71,-60.63,0,,,,,3935,110,0,0,1.2,0.3,0,0,49.7,9.5,0,0,HD 220074,HIP 115218,HD 220074 b,0,1,0,0,0,0,2451158.2,31.7,-31.7,0,323,8.5,-8.5,0,,,,,,,,,3527.8,572.1,-572.1,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 220689,b,Radial Velocity,1,2209,103,-81,0,3.36,0.09,-0.09,0,0.16,0.1,-0.07,0,,,,,1.06,0.09,-0.09,0,,,,,,,,,,,,,0,0,23h25m52.99s,351.470795,-20d36m57.7s,-20.61603,45.23,1.81,-1.96,0,7.758,0.012,0,0,5921,26,0,0,1.04,0.03,0,0,1.07,0.04,0,0,HD 220689,HIP 115662,HD 220689 b,0,1,0,0,0,0,2455649,413,-413,0,137,75,-75,0,,,,,,,,,336.89,28.6,-28.6,0,,,,,,,,,,,,,,,,,,,,,2012,3,0
HD 220773,b,Radial Velocity,1,3724.7,463,-463,0,4.94,0.2,-0.2,0,0.51,0.1,-0.1,0,,,,,1.45,0.3,-0.3,0,,,,,,,,,,,,,0,0,23h26m27.44s,351.614349,+08d38m37.8s,8.643845,48.43,2.32,-2.57,0,7.096,0.011,0,0,,,,,,,,,,,,,HD 220773,HIP 115697,HD 220773 b,0,1,0,0,0,0,2453866.4,95,-95,0,226,13,-13,0,,,,,,,,,460.8,95,-95,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
HD 221287,b,Radial Velocity,1,456.1,7.7,-5.8,0,1.25,0.04,-0.04,0,0.08,0.17,-0.05,0,,,,,3.09,0.79,-0.79,0,,,,,,,,,,,,,0,0,23h31m20.34s,352.834747,-58d12m35.0s,-58.209732,52.88,2.2,-2.4,0,7.807,0.01,0,0,,,,,,,,,,,,,HD 221287,HIP 116084,HD 221287 b,0,1,0,0,0,0,2453263,99,-52,0,98,92,-51,0,,,,,,,,,982.05,251.08,-251.08,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 222155,b,Radial Velocity,1,3999,469,-541,0,5.1,0.6,-0.7,0,0.16,0.27,-0.22,0,,,,,1.9,0.67,-0.53,0,,,,,,,,,,,,,0,0,23h38m00.31s,354.501282,+48d59m47.5s,48.996521,50.45,2,-2.18,0,7.114,0.01,0,0,5765,22,0,0,1.13,0.11,0,0,1.67,0.07,0,0,HD 222155,HIP 116616,HD 222155 b,0,1,0,0,0,0,2456319,654,-498,0,137,240,-52,0,,,,,,,,,603.85,212.94,-168.44,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
HD 222582,b,Radial Velocity,1,572.38,0.61,-0.61,0,1.35,0.08,-0.08,0,0.725,0.012,-0.012,0,,,,,7.75,0.65,-0.65,0,,,,,,,,,,,,,0,0,23h41m51.53s,355.464722,-05d59m08.7s,-5.985757,41.95,1.87,-2.05,0,7.691,0.011,0,0,,,,,,,,,,,,,HD 222582,HIP 116906,HD 222582 b,0,1,0,0,0,0,2450706.7,2.8,-2.8,0,319.01,0.87,-0.87,0,,,,,,,,,2463.07874,206.5808,-206.5808,0,,,,,,,,,,,,,,,,,,,,,1999,3,0
HD 224693,b,Radial Velocity,1,26.73,0.02,-0.02,0,0.233,,,0,0.05,0.03,-0.03,0,,,,,0.71,,,0,,,,,,,,,,,,,0,0,23h59m53.83s,359.974304,-22d25m41.2s,-22.428114,94.07,9.33,-11.64,0,8.216,0.012,0,0,,,,,,,,,,,,,HD 224693,HIP 118319,HD 224693 b,0,1,0,0,0,0,2453193.9,3,-3,0,6,200,-200,0,,,,,,,,,225.64979,,,0,,,,,,,,,,,,,,,,,,,,,2006,3,0
HD 231701,b,Radial Velocity,1,141.6,2.8,-2.8,0,0.53,,,0,0.1,0.08,-0.08,0,,,,,1.08,,,0,,,,,,,,,,,,,0,0,19h32m04.16s,293.017334,+16d28m27.4s,16.474291,108.46,11.94,-15.3,0,8.97,0.015,0,0,,,,,,,,,,,,,HD 231701,HIP 96078,HD 231701 b,0,1,0,0,0,0,2463180,4.2,-4.2,0,46,24,-24,0,,,,,,,,,317.817,,,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
HD 233604,b,Radial Velocity,1,192,0.22,-0.22,0,0.747,,,0,0.05,0.03,-0.03,0,,,,,6.575,,,0,,,,,,,,,,,,,0,0,09h09m48.81s,137.453384,+53d34m05.6s,53.56823,,,,,,,,,4791,45,0,0,1.5,0.3,0,0,10.9,0.6,0,0,HD 233604,,HD 233604 b,0,1,0,0,0,0,2453022,77,-77,0,281,43,-43,0,,,,,,,,,2089.644,,,0,,,,,,,,,,,,,,,,,,,,,2013,3,0
HD 240210,b,Radial Velocity,1,501.75,2.33,-2.33,0,1.33,,,0,0.15,0.02,-0.02,0,,,,,6.9,,,0,,,,,,,,,,,,,0,0,23h10m29.23s,347.621792,+57d01m46.0s,57.029456,,,,,,,,,,,,,,,,,,,,,HD 240210,,HD 240210 b,0,1,0,0,0,0,2454486.76,10.93,-10.93,0,277.49,7.77,-7.77,0,,,,,,,,,2192.935,,,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
