pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_disc,pl_status,pl_mnum
24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,,,,,,,,,,,,,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,24 Sex c,0,1,0,0,0,0,2454930,209.9,-96.5,0,220.5,182.2,-320.9,0,,,,,,,,,273.32,111.24,-69.92,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,,,,,9.88,0.94,-0.94,0,,,,,,,,,,,,,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,6.962,0.011,0,0,6300,60,0,0,1.16,0.04,0,0,1.13,0.03,0,0,HD 16232,HIP 12184,30 Ari B b,0,1,0,0,0,0,2454538,20,-20,0,307,18,-18,0,,,,,,,,,3140.03,298.75,-298.75,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,,,,,,,,,,,,,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.82,,0,0,4200,70,0,0,0.98,0.05,0,0,22.03,1,0,0,HD 170693,HIP 90344,42 Dra b,0,1,0,0,0,0,2452757.4,3.7,-3.7,0,218.7,10.6,-10.6,0,,,,,,,,,1233.13,270.14,-270.14,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
47 UMa,b,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,,,,,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa b,0,1,0,0,0,0,2451917,63,-76,0,334,23,-23,0,,,,,,,,,804.08,22.25,-19.07,0,,,,,,,,,,,,,,,,,,,,,1996,3,0
47 UMa,c,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,,,,,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa c,0,1,0,0,0,0,2452441,628,-825,0,295,114,-160,0,,,,,,,,,171.621,20.976,-23.201,0,,,,,,,,,,,,,,,,,,,,,2001,3,0
47 UMa,d,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,,,,,,,,,,,,,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa d,0,1,0,0,0,0,2451736,6783,-5051,0,110,132,-160,0,,,,,,,,,521.22,92.17,-152.55,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
51 Peg,b,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,,,,,,,,,,,,,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5.5,,0,0,5793,70,0,0,1.12,0.06,0,0,1.2,,0,0,HD 217014,HIP 113357,51 Peg b,0,1,0,0,0,0,2450001.51,0.61,-0.61,0,58,,,0,,,,,,,,,150.009,12.395,-12.395,0,,,,,,,,,,,,,,,,,,,,,1995,3,0
55 Cnc,b,Radial Velocity,5,14.651,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,0.004,0.003,-0.003,0,,,,,0.8,0.012,-0.012,0,,,,,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc b,0,1,0,0,0,0,2453035,2.2,-2.2,0,110,54,-54,0,,,,,,,,,254.25,3.814,-3.814,0,,,,,,,,,,,,,,,,,,,,,1996,3,0
55 Cnc,c,Radial Velocity,5,44.38,0.007,-0.007,0,0.237,0.0013,-0.0013,0,0.07,0.02,-0.02,0,,,,,0.165,0.0054,-0.0054,0,,,,,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc c,0,1,0,0,0,0,2453083,3,-3,0,356,22,-22,0,,,,,,,,,52.44,1.7162,-1.7162,0,,,,,,,,,,,,,,,,,,,,,2004,3,0
55 Cnc,d,Radial Velocity,5,4909,30,-30,0,5.47,0.06,-0.06,0,0.02,0.008,-0.008,0,,,,,3.53,0.08,-0.08,0,,,,,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc d,0,1,0,0,0,0,2453490,437,-437,0,254,32,-32,0,,,,,,,,,1121.89,25.43,-25.43,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
55 Cnc,e,Radial Velocity,5,0.73654,0.000003,-0.000003,0,0.01583,0.0002,-0.0002,0,,,,,0.027,0.001,-0.001,0,,,,,0.178,0.012,-0.012,0,5.9,1.5,-1.1,0,90,3.8,-3.8,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc e,1,1,0,0,0,0,,,,,,,,,,,,,8.63,0.35,-0.35,0,,,,,2,0.14,-0.14,0,0.018,0.001,-0.001,0,0.038,0.0052,-0.0052,0,0.0658,0.0013,-0.0013,0,2455607.056,0.00087,-0.00087,0,2011,3,0
55 Cnc,f,Radial Velocity,5,261.2,0.4,-0.4,0,0.77,0.005,-0.005,0,0.32,0.05,-0.05,0,,,,,0.172,0.008,-0.008,0,,,,,,,,,,,,,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc f,0,1,0,0,0,0,2451878,5,-5,0,139,8,-8,0,,,,,,,,,54.664,2.543,-2.543,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
61 Vir,b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,,,,,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir b,0,1,0,0,0,0,,,,,105,54,-54,0,,,,,,,,,5.1,0.5,-0.5,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
61 Vir,c,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,,,,,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir c,0,1,0,0,0,0,,,,,341,38,-38,0,,,,,,,,,18.2,1.1,-1.1,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
