kepid,kepoi_name,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_vet_stat,koi_vet_date,ra,dec,koi_kepmag
7604328,K02458.02,CANDIDATE,CANDIDATE,2.936614996,8.04E-06,-8.04E-06,133.03005,1.54E-03,-1.54E-03,3.25E+02,1.83E+01,-1.83E+01,1.864,0.124,-0.124,0.034,1.86E-01,-1.86E-01,0.34,6.30E+00,-6.30E+00,88.3,3.56E+01,-3.56E+01,0.0371796,6.79E-08,-6.79E-08,0,,,,,,11.5,27.7,-27.7,0.01652,9.81E-03,-9.81E-03,1.638,0.974,-0.974,1190,351,-351,5455,196,-196,4.421,0.323,-0.323,0.909,0.532,-0.532,-0.2,0.4,-0.4,q1_q16_stellar,Active,12/19/13,290.744324,43.26078,15.404
9514372,K04242.01,CANDIDATE,CANDIDATE,145.786742,1.08E-03,-1.08E-03,215.04535,5.70E-03,-5.70E-03,4.18E+02,3.41E+01,-3.41E+01,4.37,1.6,-1.6,0.08,1.90E+00,-1.90E+00,0.1,8.63E+01,-8.63E+01,90,1.95E+01,-1.95E+01,0.559941,2.75E-06,-2.75E-06,0,,,,,,257,2738,-2738,0.0186,4.27E-02,-4.27E-02,2.02,4.6,-4.6,353,134,-134,6014,229,-229,4.486,0.452,-0.452,0.993,0.747,-0.747,0.07,0.33,-0.33,q1_q16_stellar,Active,12/19/13,285.660065,46.143471,14.41
9777757,K04243.01,FALSE POSITIVE,FALSE POSITIVE,1.332573542,7.05E-06,-7.05E-06,132.04992,1.95E-03,-1.95E-03,4.20E+01,3.00E+00,-3.00E+00,3.457,0.479,-0.479,0.0281,5.57E-02,-5.57E-02,0.5,1.50E+00,-1.50E+00,78.8,4.27E+01,-4.27E+01,0.0262181,9.24E-08,-9.24E-08,0,,,,,,2.57,2.1,-2.1,0.00614,1.11E-03,-1.11E-03,1.498,0.27,-0.27,2695,600,-600,6613,294,-294,3.87,0.384,-0.384,2.237,0.976,-0.976,-0.24,0.3,-0.3,q1_q16_stellar,Active,12/19/13,294.712921,46.576221,13
5097454,K04244.01,FALSE POSITIVE,FALSE POSITIVE,1.288131038,9.63E-07,-9.63E-07,131.954277,3.21E-04,-3.21E-04,3.06E+03,3.57E+01,-3.57E+01,3.12454,0.00986,-0.00986,1.1851,4.81E-02,-4.81E-02,0.93995,2.70E-03,-2.70E-03,53.37,4.00E-01,-4.00E-01,0.0198459,9.89E-09,-9.89E-09,0,,,,,,1.5754,0.0107,-0.0107,0.064758,9.05E-04,-9.05E-04,4.5156,0.0631,-0.0631,1310,192,-192,5233,202,-202,4.625,0.129,-0.129,0.639,0.181,-0.181,-0.96,0.34,-0.34,q1_q16_stellar,Active,12/19/13,291.248657,40.221352,15.313
12737015,K04245.01,CANDIDATE,CANDIDATE,24.6679556,4.15E-04,-4.15E-04,136.6448,1.41E-02,-1.41E-02,1.26E+02,9.50E+00,-9.50E+00,9.334,0.725,-0.725,1.905,9.20E-01,-9.20E-01,0.9724,1.27E-02,-1.27E-02,80.31,2.20E+00,-2.20E+00,0.177501,1.99E-06,-1.99E-06,0,,,,,,5.78,1.2,-1.2,0.013622,8.29E-04,-8.29E-04,2.271,0.138,-0.138,780,105,-105,6028,127,-127,4.158,0.179,-0.179,1.528,0.406,-0.406,0.16,0.14,-0.14,q1_q16_stellar,Active,12/19/13,290.480072,51.965012,13.572
5177859,K04246.01,CANDIDATE,CANDIDATE,6.98469713,2.99E-05,-2.99E-05,136.00236,3.14E-03,-3.14E-03,9.13E+01,7.20E+00,-7.20E+00,2.646,0.154,-0.154,0.023,2.46E-01,-2.46E-01,0.1,3.95E+01,-3.95E+01,90,1.14E+02,-1.14E+02,0.0726508,2.07E-07,-2.07E-07,0,,,,,,20.2,96.1,-96.1,0.00869,9.40E-03,-9.40E-03,1.17,1.3,-1.3,1062,268,-268,5841,185,-185,4.275,0.285,-0.285,1.235,0.618,-0.618,0.12,0.3,-0.3,q1_q16_stellar,Active,12/19/13,289.073975,40.366009,13.382
8482059,K04247.01,FALSE POSITIVE,FALSE POSITIVE,349.441626,9.41E-03,-9.41E-03,241.4665,1.51E-02,-1.51E-02,8.98E+02,8.39E+01,-8.39E+01,17.98,2.5,-2.5,0.51,2.70E+00,-2.70E+00,0.25,8.80E+00,-8.80E+00,89.9,3.60E+00,-3.60E+00,0.989847,1.78E-05,-1.78E-05,0,,,,,,148,348,-348,0.0274,1.46E-02,-1.46E-02,2.83,1.5,-1.5,253.4,56.1,-56.1,5878,208,-208,4.512,0.321,-0.321,0.945,0.413,-0.413,0.07,0.31,-0.31,q1_q16_stellar,Active,12/19/13,285.853149,44.57222,15.346
4568117,K04248.01,FALSE POSITIVE,FALSE POSITIVE,0.56257,1.10E-05,-1.10E-05,131.7269,2.30E-03,-2.30E-03,2.95E+01,3.80E+00,-3.80E+00,1.58,0.51,-0.51,0.017,4.10E-02,-4.10E-02,0.72,8.50E-01,-8.50E-01,68,4.80E+01,-4.80E+01,0.0143019,1.80E-07,-1.80E-07,0,,,,,,1.9,1.7,-1.7,0.0054,1.20E-03,-1.20E-03,0.7,0.16,-0.16,2652,261,-261,,,,,,,1.195,0,0,,,,,Active,9/5/13,293.488251,39.696331,13.54
3650049,K04249.01,FALSE POSITIVE,FALSE POSITIVE,397.723,1.50E-02,-1.50E-02,222.044,2.00E-02,-2.00E-02,1.18E+03,1.34E+02,-1.34E+02,12.7,1.2,-1.2,4.2,2.00E+00,-2.00E+00,0.954,2.10E-02,-2.10E-02,89.45,1.10E-01,-1.10E-01,0.986488,2.60E-05,-2.60E-05,0,,,,,,100,17,-17,0.0413,4.10E-03,-4.10E-03,3.93,0.39,-0.39,223,57,-57,,,,,,,0.874,0,0,,,,,Active,7/31/13,292.580872,38.70911,15.086
9641076,K04250.01,FALSE POSITIVE,FALSE POSITIVE,2.17816549,1.17E-05,-1.17E-05,132.01407,2.95E-03,-2.95E-03,1.20E+02,9.30E+00,-9.30E+00,2.799,0.251,-0.251,0.027,3.63E-01,-3.63E-01,0,2.87E+02,-2.87E+02,90,2.74E+03,-2.74E+03,0.0311436,1.11E-07,-1.11E-07,0,,,,,,6,34.8,-34.8,0.0099,1.39E-02,-1.39E-02,1.01,1.4,-1.4,1348,345,-345,5584,181,-181,4.428,0.304,-0.304,0.932,0.473,-0.473,-0.16,0.34,-0.34,q1_q16_stellar,Active,12/19/13,288.049805,46.35833,15.123
